title,service_name,url,tags
Data Points,DataPoints,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/DataPoints/FeatureServer,geoloom
Transformation_Zones,Transformation_Zones,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Transformation_Zones/FeatureServer,transformation zones| baltimore city| businesses| bnia
Publicly_Funded_Murals,Publicly_Funded_Murals,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Publicly_Funded_Murals/FeatureServer,featured map|geoloom
"Liquor Outlet density per 1,000 Residents",Liquor,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Liquor/FeatureServer,health
"Rate of Businesses in the Creative Economy per 1,000 Residents",Cebus,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Cebus/FeatureServer,arts
"Number of Businesses that are Arts-Related per 1,000 Residents",Artbus,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Artbus/FeatureServer,arts
RPD_CSA_COVIDdata,RPD_CSA_COVIDdata,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/RPD_CSA_COVIDdata/FeatureServer,covid
Percent of Residents - Black/African-American (Non-Hispanic),Paa,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Paa/FeatureServer,census
"Number of Narcotics Calls for Service per 1,000 Residents",Narc,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Narc/FeatureServer,crime| public safety
"Percent of Households Earning Less than 25,000",Hh25inc,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hh25inc/FeatureServer,census
Libraries_in_Neighborhoods,Libraries_in_Neighborhoods,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Libraries_in_Neighborhoods/FeatureServer,Geoloom|featured map
Baltimore City Geographic Boundaries (Collection),GP_Boundaries,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/GP_Boundaries/FeatureServer,baltimore|geography|mapping|boundaries
Percent of Students that are White (non-Hispanic),Wstud,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Wstud/FeatureServer,education
Percent of Households with No Internet at Home,Nohhint,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Nohhint/FeatureServer,workforce
Affordability Index - Rent,RPD_CSA_Affordr,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/RPD_CSA_Affordr/FeatureServer,csa|  rpd|  covid
Total Employment in Arts-Related Businesses,Artemp,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Artemp/FeatureServer,art
Percent of Population that Walks to Work,Walked,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Walked/FeatureServer,sustainability
Number of Employees in the Creative Economy,Ceemp,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Ceemp/FeatureServer,arts
